index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
508,2022.0,3.0,12.0,09,39,32,25,40708,16.0,-31.43004,-119.0001,401.2,404.4,34.3361,7.634,232.92,1.5213520707290349,,4.307077667163511,21.444517595562058,1.0234317420384373,2240.326498538487,2168.104371387068,,,2,09:39:32,2,2,2,2
510,2022.0,3.0,12.0,09,44,34,25,40710,18.0,-31.42994,-119.0001,202.1,203.6,34.6404,13.4648,224.48,0.6427899977139072,,,6.929041723077118,1.0236624750543528,2279.506811308481,2100.9402734178616,,,2,09:44:34,2,2,2,2
512,2022.0,3.0,12.0,09,47,08,25,40712,20.0,-31.42998,-119.0001,102.2,103.0,34.932,16.7548,250.93,0.1826379455654263,,,,1.0238836153192001,2295.4393230765586,2051.2991655909923,,,2,09:47:08,2,2,2,2
516,2022.0,3.0,12.0,09,52,06,25,40716,24.0,-31.42996,-119.00002,8.1,8.2,35.1545,24.7759,215.03,0.1230405815770576,,,,1.0240523767444074,2307.0894031674547,2042.826167839788,,,2,09:52:06,2,2,2,2
517,2022.0,3.0,13.0,03,54,56,26,40717,1.0,-31.43008,-122.00022,3492.3,3546.1,34.6902,1.6504,170.58,2.424537872370484,,122.85627684620908,33.6621978573275,1.0237002392432566,2392.7346346261006,2301.3168893034376,,,2,03:54:56,2,2,2,2
527,2022.0,3.0,13.0,04,42,43,26,40727,11.0,-31.43002,-121.99992,1348.2,1362.0,34.4852,3.0466,163.59,2.514789799743048,,67.40203321463603,34.81137348665289,1.0235447910051974,2349.260373111046,2253.91130098574,,,2,04:42:43,2,2,2,2
532,2022.0,3.0,13.0,05,02,40,26,40732,16.0,-31.43008,-122.00001,400.4,403.6,34.4181,8.737,224.83,1.3561389872416012,,3.2496529334045863,18.30983041852133,1.0234939140148196,2300.295705244213,2166.492421742085,,,2,05:02:40,2,2,2,2
536,2022.0,3.0,13.0,05,11,33,26,40736,20.0,-31.43002,-122.0,103.0,103.8,35.1053,17.7901,249.92,0.1396463840182678,,,,1.0240150577854812,2329.555557604301,2055.7926338087627,,,2,05:11:33,2,2,2,2
540,2022.0,3.0,13.0,05,17,27,26,40740,24.0,-31.43,-122.0,7.5,7.5,35.4355,25.1778,211.6,0.0761521275405983,,,,1.0242655395073044,2344.517482087956,2037.7764034926468,,,2,05:17:27,2,2,2,2
541,2022.0,3.0,13.0,23,00,18,27,40741,1.0,-31.42956,-125.00012,3492.6,3546.5,34.6912,1.6174,172.2,2.4196518376724083,,122.90600507230712,34.078310056132274,1.0237009975711042,2397.514531407564,2300.512755842601,,,2,23:00:18,2,2,2,2
