bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-40438,34.2532,1.6035273449417082,5.066599197759145,0.0,2266.943850816419,2156.6504462588705
SO289-41140,35.5836,0.047833909739769,0.1942642456778375,0.0,2313.026450208888,2048.2569425669753
SO289-40479,34.695,2.3971775918909946,115.72877900020778,0.0,2394.0954242638054,2297.154425716567
SO289-40429,34.2684,1.9924164771276256,17.883867760858166,0.0,2280.6811288790027,2176.9340659806894
SO289-40444,34.4858,0.5539569474273168,0.1309175149122759,0.0,2274.521439493222,2082.879385265272
SO289-40396,34.2574,1.8009090197237343,10.685263228800345,0.0,2276.971925111706,2157.5075652658325
SO289-40392,34.5231,2.756030632973365,82.49529480619316,0.0,2350.930233130184,2289.4862055196713
SO289-41096,34.908,0.0283240351991722,0.0888788690732647,0.0,2283.326507251662,1978.3587834778662
SO289-41188,35.6504,0.270394642129901,0.1893738648852014,0.0,2366.5289580613608,2098.7538827452604
SO289-40602,34.2977,1.7119361935312705,8.086748822868033,0.0,2273.8118942550404,2157.4738389836307
SO289-40567,34.3603,1.2760759051048751,2.142752266382076,0.0,2271.136828384489,2135.0992202304346
SO289-40419,34.6839,2.4108732451449275,118.29690031890225,0.0,2389.004993549903,2300.671860203248
SO289-40249,34.2494,1.8839789301623344,12.873204577779353,0.0,2275.4213183220213,2176.685283535611
SO289-41018,35.6177,0.1356886842697964,0.3123768270959342,0.0,2330.288813328079,2070.8908248266625
SO289-40268,34.6439,2.613159248937761,116.33784976270915,0.0,2388.348991140585,2310.2098267975553
SO289-40262,34.7017,2.427447738569044,125.73007077624156,0.0,2398.4253033997,2308.5402775044704
SO289-41087,34.3921,1.557440333133301,7.184353054911647,0.0,2276.3289627033528,2156.678379334567
SO289-41284,35.735,0.2030272983475683,0.3035648547408353,0.0,2333.223909790976,2083.1181857934703
SO289-40380,35.1948,0.1757670125819625,0.0,0.0,2316.964039886313,2066.824721964544
SO289-40717,34.6902,2.424537872370484,122.85627684620908,0.0,2392.7346346261006,2301.3168893034376
SO289-40570,35.5611,0.1337419355837853,0.0,0.0,2327.854111383549,2058.57017929938
SO289-41269,34.6901,2.474357327013816,123.5459410093744,0.0,2389.079834669655,2328.9161751182714
SO289-40066,34.3884,2.375249578214143,13.99062061310091,0.0,2267.4005311889646,2241.561411561159
SO289-41138,35.6526,0.2450142403874968,0.4002224643779828,0.0,2326.731809372886,2087.7206287375516
SO289-40276,34.2547,1.910354951691322,12.331805365905106,0.0,2275.120404681912,2174.4330783112287
SO289-40506,34.6893,2.43235428166899,117.35767511864688,0.0,2388.310308298157,2299.7619582684074
SO289-40229,34.3575,2.322541131873208,16.146399749349918,0.0,2272.271133824833,2237.247677558732
SO289-41283,35.6074,0.3953549378299859,0.8961378590813013,0.0,2329.881094088103,2134.569553516784
SO289-41106,34.709,2.3551488327145664,117.69297053537196,0.0,2367.714261259897,2298.423418269545
SO289-41164,34.3271,1.85064870499106,15.340646604202556,0.0,2287.748209065543,2173.8887647130655
SO289-40224,34.5499,2.7403447176221856,88.96595069884646,0.0,2361.328168041696,2300.572765788698
SO289-40015,34.3438,1.4246105756393843,3.5370989600923,0.0,2282.8239462368665,2147.5353042456363
SO289-40260,34.4461,0.2833372829562184,0.0,0.0,2283.316419951256,2040.5733745878476
SO289-41149,34.7205,2.2369327592612915,119.37504004849112,0.0,2289.432210467349,2317.9316968637345
SO289-41165,35.2612,0.6756932819209743,1.9850931244874868,0.0,2304.1130925277607,2122.0533210190747
SO289-40318,34.294,1.9523161474363029,10.089898167381014,0.0,2272.96364589128,2193.2304232188226
SO289-40534,34.3458,1.3415551593215034,3.2351705262297874,0.0,2296.9003569473502,2265.300263167897
SO289-40232,34.0436,0.8209458523774298,0.418291458116119,0.0,2263.279872479723,2081.0737144642812
SO289-40252,34.4465,2.525609170372359,17.80432337009497,0.0,2271.378435751661,2254.362370376666
SO289-41258,34.6419,2.480306976784311,112.06611097390412,0.0,2393.684671440149,2300.9857462470595
SO289-40542,35.1878,0.1601441084652825,0.0,0.0,2316.0651246861958,2056.2100334410284
SO289-41163,34.3562,2.163277668544586,31.56587550135564,0.0,2291.845600524084,2202.1072348541948
SO289-40299,34.6795,2.421626521360523,121.33823924879172,0.0,2385.6596999086028,2298.590939984284
SO289-40219,34.6855,2.4587361287798304,124.88660274929926,0.0,2398.288535700385,2312.2329527361608
SO289-41067,34.6181,2.498911818354896,107.792192708795,0.0,2377.284843652425,2295.580974690524
SO289-41019,35.6022,0.0927379351790223,0.2811423719111414,0.0,2339.2636531623084,2058.2854587438605
SO289-40985,34.6218,2.5311426016447665,109.1849537468277,0.0,2377.7047797058253,2295.7787708878227
SO289-41002,34.7205,2.227164493937006,117.23383628940782,0.0,2374.402173754509,2317.1816617001805
SO289-41062,34.6537,2.541828412941505,124.70393846366672,0.0,2400.7248337780343,2311.8006691800642
SO289-40986,34.556,2.4814417574766026,87.7687903510622,0.0,2359.734351741547,2273.5124321186413
SO289-41052,34.7208,2.238885914778166,120.11544786679634,0.0,2340.6198611707027,2291.0506345841127
SO289-40993,35.3641,0.5057549774807549,1.156987738059256,0.0,2325.6611144571903,2109.744649786893
SO289-41012,34.3561,2.18770508522649,34.53818640133362,0.0,2028.3423538220136,2213.875393734884
SO289-41021,35.2339,0.0341759293139081,0.2031026656369396,0.0,2301.824016856129,2001.9663625096232
SO289-41217,34.4041,2.147568017927904,41.19949982346038,0.0,2302.421492438158,2220.686724191378
SO289-40459,34.6742,2.446057529815773,115.99919867932653,0.0,2387.8920480798406,2301.2340267037275
SO289-40540,34.7713,0.4708126712398576,0.2520117617839902,0.0,2301.48883319166,2087.1230773004904
SO289-41093,35.6299,0.1679010274151936,0.2479468660666232,0.0,2338.888237088658,2074.2396421406265
SO289-41260,34.6125,2.462776711445496,95.99163127463144,0.0,2360.128706689873,2312.2793139686446
SO289-40991,34.3718,1.580913648292688,7.401372611753468,0.0,2290.386396920492,2149.649780532963
SO289-40315,34.2548,1.792118016289206,10.3530481911582,0.0,2279.9606275025,2169.419716627958
SO289-40994,35.574,0.197194254500947,0.4178175293386401,0.0,2337.8766583026504,2084.817301913154
SO289-41015,34.807,0.9982527501875408,3.299508600913418,0.0,2308.879361984417,2131.0095131066346
SO289-41001,34.7215,2.19785806986264,117.00028807816336,0.0,2368.272119559713,2267.6142572445597
SO289-40987,34.5065,2.451246328346786,74.25351721536101,0.0,2346.5213356197346,2258.7870466607774
SO289-40471,34.614,0.3135860555080736,0.0,0.0,2292.00722387378,2068.3755702023595
SO289-40435,34.278,1.701212563452727,8.491405615395864,0.0,2284.6274166008343,2157.072729802346
SO289-41040,35.6144,0.109332156707263,0.2225690332969283,0.0,2338.8341539426915,2069.590173476699
SO289-41006,34.667,2.5378959092001656,127.8003495430832,0.0,2405.861985999584,2319.013417504849
SO289-40454,34.6971,2.348331689557942,115.28120466368176,0.0,2392.428008983083,2297.361711342118
SO289-40136,34.3767,2.4485508167342327,19.090098107483417,0.0,2289.116257053493,2241.5373999857
SO289-41173,35.1184,0.787090163361882,2.429628196581094,0.0,2312.673372693243,2133.233688952752
SO289-41085,34.3215,1.9014663783185648,16.718442822729006,0.0,2296.111947198477,2171.7045995366575
SO289-40200,34.4869,2.613463186690394,18.77785512081845,0.0,2286.6675311469626,2268.8072067933176
SO289-40155,34.2873,2.1585023902794003,20.97040280569769,0.0,2288.007357126244,2202.354236297921
